Entry Date,Exit Date,Entry Price,Exit Price,Net Return %,Net Profit €,Post-Trade Equity,Protection Level
2015-06-16 16:01:00,2015-06-18 04:01:00,245.93,244.97,-0.39,-339.66,21179.78,3
2015-06-19 20:01:00,2015-07-01 08:01:00,244.09,256.55,5.1,3738.35,24362.16,3
2015-07-06 12:01:00,2015-07-06 20:01:00,277.27,268.55,-3.14,-2731.89,21562.06,3
2015-07-07 04:01:00,2015-07-13 04:01:00,265.77,286.85,7.93,5941.91,27187.01,3
2015-07-24 12:01:00,2015-07-30 08:01:00,283.96,286.36,0.84,745.9,27542.77,3
2015-10-07 08:01:00,2015-10-17 16:01:00,244.78,264.62,8.1,7753.65,34640.91,3
2015-10-19 20:01:00,2015-10-25 20:01:00,264.66,284.06,7.33,8812.41,42944.1,2
2015-10-26 12:01:00,2015-10-30 08:01:00,285.69,320.59,12.22,18273.77,60781.98,1
2015-11-29 00:01:00,2015-12-01 08:01:00,356.59,361.2,1.29,2624.9,62981.41,0
2015-12-04 04:01:00,2015-12-12 04:01:00,359.74,427.58,18.86,20718.98,111174.08,0
2015-12-23 20:01:00,2015-12-26 08:01:00,443.0,422.94,-4.53,-17855.32,92501.63,0
2016-01-04 08:01:00,2016-01-10 08:01:00,432.31,442.91,2.45,7742.61,98884.47,1
2016-01-10 16:01:00,2016-01-12 20:01:00,445.97,432.5,-3.02,-10657.7,87569.19,0
2016-02-18 20:01:00,2016-02-21 12:01:00,421.56,430.86,2.21,6576.76,93471.66,1
2016-02-22 12:01:00,2016-02-23 08:01:00,438.43,422.97,-3.53,-11730.9,81380.9,1
2016-02-25 12:01:00,2016-03-02 20:01:00,422.85,422.23,-0.15,-590.17,79537.47,2
2016-03-11 20:01:00,2016-03-12 12:01:00,420.49,409.5,-2.61,-7442.89,71816.19,2
2016-03-13 12:01:00,2016-03-18 12:01:00,412.5,407.97,-1.1,-2912.43,67998.88,2
2016-03-23 16:01:00,2016-03-30 04:01:00,419.06,411.76,-1.74,-4287.92,62639.98,3
2016-03-31 20:01:00,2016-04-27 16:01:00,414.87,453.65,9.35,20359.35,79338.02,3
2016-04-29 20:01:00,2016-05-02 08:01:00,456.77,442.86,-3.04,-8620.71,70134.18,2
2016-05-03 20:01:00,2016-05-19 08:01:00,451.9,448.13,-0.83,-2195.91,65508.13,2
2016-05-26 20:01:00,2016-05-29 00:01:00,453.01,491.42,8.48,19301.18,84373.68,3
2016-06-04 04:01:00,2016-06-14 12:01:00,581.9,675.0,16.0,47069.27,129434.85,1
2016-07-01 16:01:00,2016-07-03 04:01:00,676.68,682.0,0.79,3292.51,132047.83,0
2016-07-06 00:01:00,2016-07-07 04:01:00,677.66,636.96,-6.01,-28032.96,103414.05,0
2016-07-12 20:01:00,2016-07-22 08:01:00,665.14,660.04,-0.77,-2994.86,98138.91,1
2016-07-24 20:01:00,2016-07-26 04:01:00,662.13,646.83,-2.31,-8143.86,89514.18,2
2016-07-29 20:01:00,2016-07-31 00:01:00,655.53,632.86,-3.46,-11024.98,78081.91,2
2016-09-06 20:01:00,2016-09-11 16:01:00,609.54,600.5,-1.48,-4216.57,72908.83,3
2016-09-14 04:01:00,2016-09-20 20:01:00,607.95,595.23,-2.09,-5491.11,66243.89,3
2016-09-24 08:01:00,2016-09-25 12:01:00,601.61,596.03,-0.93,-2289.97,63652.51,3
2016-09-26 12:01:00,2016-11-03 12:01:00,604.36,716.16,18.5,41077.26,99516.63,3
2016-11-06 00:01:00,2016-11-10 04:01:00,710.71,714.49,0.53,1643.54,100080.41,1
